z_mm,center_x_mm,center_y_mm,extent_x_mm,extent_y_mm,offset_from_reference_mm,jump_from_previous_mm
0.10000010000000117,0.0,0.0,40.0,39.99209213256836,0.0,0.0
0.3000001000000012,0.0,0.0,40.0,39.99209213256836,0.0,0.0
0.5000001000000013,0.0,0.0,40.0,39.99209213256836,0.0,0.0
0.7000001000000012,0.0,0.0,40.0,39.99209213256836,0.0,0.0
0.9000001000000013,0.0,0.0,40.0,39.99209213256836,0.0,0.0
1.1000001000000015,0.0,0.0,40.0,39.99209213256836,0.0,0.0
1.3000001000000014,0.0,0.0,40.0,39.99209213256836,0.0,0.0
1.5000001000000016,0.0,0.0,40.0,39.99209213256836,0.0,0.0
1.7000001000000016,0.0,0.0,40.0,39.99209213256836,0.0,0.0
1.9000001000000015,0.0,0.0,40.0,39.99209213256836,0.0,0.0
2.1000001000000017,0.0,0.0,40.0,39.99209213256836,0.0,0.0
2.300000100000002,0.0,0.0,40.0,39.99209213256836,0.0,0.0
2.5000001000000016,0.0,0.0,40.0,39.99209213256836,0.0,0.0
2.700000100000002,0.0,0.0,40.0,39.99209213256836,0.0,0.0
2.900000100000002,0.0,0.0,40.0,39.99209213256836,0.0,0.0
3.1000001000000017,0.0,0.0,40.0,39.99209213256836,0.0,0.0
3.300000100000002,0.0,0.0,40.0,39.99209213256836,0.0,0.0
3.500000100000002,0.0,0.0,40.0,39.99209213256836,0.0,0.0
3.700000100000002,0.0,0.0,40.0,39.99209213256836,0.0,0.0
3.900000100000002,0.0,0.0,40.0,39.99209213256836,0.0,0.0
4.100000100000002,0.0,0.0,40.0,39.99209213256836,0.0,0.0
4.300000100000002,0.0,0.0,40.0,39.99209213256836,0.0,0.0
4.500000100000002,0.0,0.0,40.0,39.99209213256836,0.0,0.0
4.700000100000001,0.0,0.0,40.0,39.99209213256836,0.0,0.0
4.9000001000000015,0.0,0.0,40.0,39.99209213256836,0.0,0.0
5.100000100000002,0.0,0.0,40.0,39.99209213256836,0.0,0.0
5.300000100000002,0.0,0.0,40.0,39.99209213256836,0.0,0.0
5.500000100000002,0.0,0.0,40.0,39.99209213256836,0.0,0.0
5.700000100000002,0.0,0.0,40.0,39.99209213256836,0.0,0.0
5.9000001000000015,0.0,0.0,40.0,39.99209213256836,0.0,0.0
6.100000100000002,0.0,0.0,40.0,39.99209213256836,0.0,0.0
6.300000100000002,0.0,0.0,40.0,39.99209213256836,0.0,0.0
6.500000100000002,0.0,0.0,40.0,39.99209213256836,0.0,0.0
6.700000100000002,0.0,0.0,40.0,39.99209213256836,0.0,0.0
6.900000100000002,0.0,0.0,40.0,39.99209213256836,0.0,0.0
7.100000100000003,0.0,0.0,40.0,39.99209213256836,0.0,0.0
7.300000100000002,0.0,0.0,40.0,39.99209213256836,0.0,0.0
7.500000100000002,0.0,0.0,40.0,39.99209213256836,0.0,0.0
7.700000100000002,0.0,0.0,40.0,39.99209213256836,0.0,0.0
7.900000100000002,0.0,0.0,40.0,39.99209213256836,0.0,0.0
8.100000100000003,0.0,0.0,40.0,39.99209213256836,0.0,0.0
8.300000100000002,0.0,0.0,40.0,39.99209213256836,0.0,0.0
8.500000100000003,0.0,0.0,40.0,39.99209213256836,0.0,0.0
8.700000100000002,0.0,0.0,40.0,39.99209213256836,0.0,0.0
8.900000100000003,0.0,0.0,40.0,39.99209213256836,0.0,0.0
9.100000100000003,0.0,0.0,40.0,39.99209213256836,0.0,0.0
9.300000100000002,0.0,0.0,40.0,39.99209213256836,0.0,0.0
9.500000100000003,0.0,0.0,40.0,39.99209213256836,0.0,0.0
9.700000100000002,0.0,0.0,40.0,39.99209213256836,0.0,0.0
9.900000100000003,0.0,0.0,40.0,39.99209213256836,0.0,0.0
10.100000100000003,0.0,0.0,40.0,39.99209213256836,0.0,0.0
10.300000100000004,0.0,0.0,40.0,39.99209213256836,0.0,0.0
10.500000100000003,0.0,0.0,40.0,39.99209213256836,0.0,0.0
10.700000100000002,0.0,0.0,40.0,39.99209213256836,0.0,0.0
10.900000100000003,0.0,0.0,40.0,39.99209213256836,0.0,0.0
11.100000100000003,0.0,0.0,40.0,39.99209213256836,0.0,0.0
11.300000100000004,0.0,0.0,40.0,39.99209213256836,0.0,0.0
11.500000100000003,0.0,0.0,40.0,39.99209213256836,0.0,0.0
11.700000100000002,0.0,0.0,40.0,39.99209213256836,0.0,0.0
11.900000100000003,0.0,0.0,40.0,39.99209213256836,0.0,0.0
12.100000100000003,0.0,0.0,40.0,39.99209213256836,0.0,0.0
12.300000100000004,0.0,0.0,40.0,39.99209213256836,0.0,0.0
12.500000100000003,0.0,0.0,40.0,39.99209213256836,0.0,0.0
12.700000100000004,0.0,0.0,40.0,39.99209213256836,0.0,0.0
12.900000100000003,0.0,0.0,40.0,39.99209213256836,0.0,0.0
13.100000100000003,0.0,0.0,40.0,39.99209213256836,0.0,0.0
13.300000100000004,0.0,0.0,40.0,39.99209213256836,0.0,0.0
13.500000100000003,0.0,0.0,40.0,39.99209213256836,0.0,0.0
13.700000100000004,0.0,0.0,40.0,39.99209213256836,0.0,0.0
13.900000100000003,0.0,0.0,40.0,39.99209213256836,0.0,0.0
14.100000100000004,0.0,0.0,40.0,39.99209213256836,0.0,0.0
14.300000100000004,0.0,0.0,40.0,39.99209213256836,0.0,0.0
14.500000100000003,0.0,0.0,40.0,39.99209213256836,0.0,0.0
14.700000100000004,0.0,0.0,40.0,39.99209213256836,0.0,0.0
14.900000100000003,0.0,0.0,40.0,39.99209213256836,0.0,0.0
15.100000100000004,0.0,0.0,40.0,39.99209213256836,0.0,0.0
15.300000100000004,0.0,0.0,40.0,39.99209213256836,0.0,0.0
15.500000100000003,0.0,0.0,40.0,39.99209213256836,0.0,0.0
15.700000100000004,0.0,0.0,40.0,39.99209213256836,0.0,0.0
15.900000100000003,0.0,0.0,40.0,39.99209213256836,0.0,0.0
16.100000100000006,0.0,0.0,40.0,39.99209213256836,0.0,0.0
16.300000100000005,0.0,0.0,40.0,39.99209213256836,0.0,0.0
16.500000100000005,0.0,0.0,40.0,39.99209213256836,0.0,0.0
16.700000100000008,0.0,0.0,40.0,39.99209213256836,0.0,0.0
16.900000100000007,0.0,0.0,40.0,39.99209213256836,0.0,0.0
17.100000100000006,0.0,0.0,40.0,39.99209213256836,0.0,0.0
17.300000100000005,0.0,0.0,40.0,39.99209213256836,0.0,0.0
17.500000100000005,0.0,0.0,40.0,39.99209213256836,0.0,0.0
17.700000100000008,0.0,0.0,40.0,39.99209213256836,0.0,0.0
17.900000100000007,0.0,0.0,40.0,39.99209213256836,0.0,0.0
18.100000100000006,0.0,0.0,40.0,39.99209213256836,0.0,0.0
18.300000100000005,0.0,0.0,40.0,39.99209213256836,0.0,0.0
18.500000100000005,0.0,0.0,40.0,39.99209213256836,0.0,0.0
18.700000100000008,0.0,0.0,40.0,39.99209213256836,0.0,0.0
18.900000100000007,0.0,0.0,40.0,39.99209213256836,0.0,0.0
19.100000100000006,0.0,0.0,40.0,39.99209213256836,0.0,0.0
19.300000100000005,0.0,0.0,40.0,39.99209213256836,0.0,0.0
19.500000100000005,0.0,0.0,40.0,39.99209213256836,0.0,0.0
19.700000100000008,0.0,0.0,40.0,39.99209213256836,0.0,0.0
19.900000100000007,0.0,0.0,40.0,39.99209213256836,0.0,0.0
